plantula,seg1_topo_estrangulamento_cm,seg2_estrangulamento_raiz_cm,total_cm,seg1_px,seg2_px,total_px,origem
1,0.48,8.62,9.10,14.7,263.3,278.0,manual
2,0.18,2.80,2.97,5.4,85.4,90.8,auto
3,0.36,5.22,5.58,11.1,159.4,170.6,auto
4,0.42,2.43,2.85,12.8,74.3,87.1,auto
